"distance:vector SingleCell_Standalone.ue[0].cellularNic.nrChannelModel[0] ($packetLen=1000B, #0 - Multiple-UEs-0-20240120-23:12:54-148370)",,"throughput:vector SingleCell_Standalone.ue[0].app[0] ($packetLen=1000B, #0 - Multiple-UEs-0-20240120-23:12:54-148370)",
2.082,80.11777995510698215,11,400000
2.1,80.40970842487399725,11.1,400000
2.102,80.4404520825860058,11.2,400000
2.12,80.4404520825860058,11.3,400000
2.121,80.4404520825860058,11.4,400000
2.14,81.00958595568198435,11.5,400000
2.142,81.00958595568198435,11.6,400000
2.16,81.00958595568198435,11.7,400000
2.162,81.00958595568198435,11.8,400000
2.18,81.548643355232002,11.9,400000
2.181,81.548643355232002,12,400000
2.2,81.9493784849360051,12.1,400000
2.202,81.9493784849360051,12.2,400000
2.22,82.0110688435009931,12.3,400000
2.221,82.0110688435009931,12.4,400000
2.24,82.304204324790987,12.5,400000
2.242,82.304204324790987,12.6,400000
2.26,82.304204324790987,12.7,400000
2.261,82.304204324790987,12.8,400000
2.28,82.8910569884749859,12.9,400000
2.281,82.8910569884749859,13,400000
2.3,83.49393892469799965,13.1,400000
2.302,83.49393892469799965,13.2,400000
2.32,83.7105522397189926,13.3,400000
2.322,83.7105522397189926,13.4,400000
2.34,84.03564055385399415,13.5,400000
2.341,84.03564055385399415,13.6,400000
2.36,84.42291094517898355,13.7,400000
2.362,84.42291094517898355,13.8,400000
2.38,84.42291094517898355,13.9,400000
2.382,84.42291094517898355,14,400000
2.4,85.0431232861020019,14.1,400000
2.402,85.0431232861020019,14.2,400000
2.42,85.33801662338998975,14.3,400000
2.422,85.33801662338998975,14.4,400000
2.44,85.46216323138997925,14.5,400000
2.441,85.46216323138997925,14.6,400000
2.46,85.9125930530459808,14.7,400000
2.461,85.9125930530459808,14.8,400000
2.48,85.9125930530459808,14.9,400000
2.481,86.30118123238099735,15,400000
2.5,86.59668340848398285,15.1,400000
2.502,86.59668340848398285,15.2,400000
2.52,86.8300803268419938,15.3,400000
2.522,86.8300803268419938,15.4,400000
2.54,86.9857296913419869,15.5,400000
2.542,86.9857296913419869,15.6,400000
2.56,87.3127261536639875,15.7,400000
2.561,87.3127261536639875,15.8,400000
2.58,87.8113672955909973,15.9,400000
2.581,87.8113672955909973,16,400000
2.6,88.1543879477540029,16.1,400000
2.601,88.1543879477540029,16.2,400000
2.62,88.419594133716998,16.3,400000
2.622,88.419594133716998,16.4,400000
2.64,88.71613411241099765,16.5,400000
2.642,88.71613411241099765,16.6,400000
2.66,88.9971950601039904,16.7,400000
2.662,88.9971950601039904,16.8,400000
2.68,89.20026049960898675,16.9,400000
2.682,89.4190179919920066,17,400000
2.7,89.71602103045498165,17.1,400000
2.702,89.7316565068699955,17.2,400000
2.72,89.8880317202699925,17.3,400000
2.722,89.8880317202699925,17.4,400000
2.74,90.2947801645029809,17.5,400000
2.741,90.2947801645029809,17.6,400000
2.76,90.57652016781898355,17.7,400000
2.761,90.57652016781898355,17.8,400000
2.78,90.57652016781898355,17.9,400000
2.781,90.57652016781898355,18,400000
2.8,91.2813810293809804,18.1,400000
2.802,91.2813810293809804,18.2,400000
2.82,91.3283974078929926,18.3,400000
2.822,91.61060985666799155,18.4,400000
2.84,91.83016408763498315,18.5,400000
2.842,91.83016408763498315,18.6,400000
2.86,92.00264576253599065,18.7,400000
2.861,92.00264576253599065,18.8,400000
2.88,92.4734307534269813,18.9,400000
2.881,92.4734307534269813,19,400000
2.9,92.8502794488260003,19.1,400000
2.902,92.8660045558600013,19.2,400000
2.92,93.1644680192179915,19.3,400000
2.921,93.1644680192179915,19.4,400000
2.94,93.46311817339199,19.5,400000
2.941,93.46311817339199,19.6,400000
2.96,93.7303419334849931,19.7,400000
2.962,93.7303419334849931,19.8,400000
2.98,93.9819778311259876,19.9,400000
2.982,93.9819778311259876,20,320000
3,94.4225399087469833,20.1,480000
3.002,94.4225399087469833,20.2,400000
3.02,94.5956866171299847,20.3,400000
3.022,94.7531596143449798,20.4,240000
3.04,95.0523481051179995,20.5,560000
3.041,95.0523481051179995,20.6,400000
3.06,95.2729612390489816,20.7,400000
3.062,95.2729612390489816,20.8,400000
3.08,95.493512695871004,20.9,400000
3.082,95.493512695871004,21,400000
3.1,95.9979972182389926,21.1,400000
3.102,96.0137674032359879,21.2,400000
3.12,96.0137674032359879,21.3,400000
3.121,96.0137674032359879,21.4,400000
3.14,96.6133054329069973,21.5,320000
3.141,96.6133054329069973,21.6,480000
3.16,96.6133054329069973,21.7,400000
3.162,96.9605294299030045,21.8,400000
3.18,97.2448002890959908,21.9,400000
3.182,97.2448002890959908,22,400000
3.2,97.5764965296809801,22.1,400000
3.202,97.5764965296809801,22.2,400000
3.22,97.67130000492898,22.3,400000
3.221,97.67130000492898,22.4,400000
